model,model_id,emotion,n_cells,mean_target_shift_abs,max_target_shift_abs
Claude,anthropic/claude-sonnet-4.5,anger,3,27.3,57.2
Claude,anthropic/claude-sonnet-4.5,interest,3,25.667,57.0
Claude,anthropic/claude-sonnet-4.5,sadness,3,7.167,10.4
Claude,anthropic/claude-sonnet-4.5,surprise,3,14.733,42.8
DeepSeek,deepseek/deepseek-v3.2,anger,3,24.333,47.0
DeepSeek,deepseek/deepseek-v3.2,interest,3,13.833,39.0
DeepSeek,deepseek/deepseek-v3.2,sadness,3,1.5,2.5
DeepSeek,deepseek/deepseek-v3.2,surprise,3,10.2,15.1
Gemini,google/gemini-2.5-pro,anger,3,36.833,85.5
Gemini,google/gemini-2.5-pro,interest,3,27.333,43.0
Gemini,google/gemini-2.5-pro,sadness,3,8.5,15.0
Gemini,google/gemini-2.5-pro,surprise,3,24.5,48.0
Llama,meta-llama/llama-4-maverick,anger,3,11.0,28.0
Llama,meta-llama/llama-4-maverick,interest,3,3.0,8.0
Llama,meta-llama/llama-4-maverick,sadness,3,3.667,9.0
Llama,meta-llama/llama-4-maverick,surprise,3,6.0,9.0
GPT,openai/gpt-5.4,anger,3,3.667,5.6
GPT,openai/gpt-5.4,interest,3,17.233,37.1
GPT,openai/gpt-5.4,sadness,3,1.6,2.7
GPT,openai/gpt-5.4,surprise,3,4.067,7.7
Grok,x-ai/grok-4.20,anger,3,10.833,18.5
Grok,x-ai/grok-4.20,interest,3,2.5,4.0
Grok,x-ai/grok-4.20,sadness,3,4.667,9.0
Grok,x-ai/grok-4.20,surprise,3,5.0,9.5
