metric,model_id,story_id,emotion,is_estimable,missing_cells,SS_persona,SS_temperature,SS_persona_x_temperature,interaction_burden,separability_share,total_SS
H_norm_sigmoid_s_v1,anthropic/claude-sonnet-4.5,T3,anger,True,0,0.051893,0.038175,0.170826,0.654771,0.345229,0.260894
H_norm_sigmoid_s_v1,deepseek/deepseek-v3.2,T3,anger,True,0,0.06248,0.056133,0.218355,0.647999,0.352001,0.336968
score,google/gemini-2.5-pro,T1,anger,True,0,0.75,0.75,2.25,0.6,0.4,3.75
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T1,anger,True,0,0.000315,0.000315,0.000944,0.6,0.4,0.001574
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T3,interest,True,0,0.061204,0.040656,0.142675,0.583454,0.416546,0.244535
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T3,surprise,True,0,0.213178,0.03581,0.224718,0.474383,0.525617,0.473706
score,meta-llama/llama-4-maverick,T2,surprise,True,0,33.0,17.0,45.0,0.473684,0.526316,95.0
H_norm_sigmoid_s_v1,deepseek/deepseek-v3.2,T3,surprise,True,0,0.10859,0.079415,0.154584,0.451223,0.548777,0.342589
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T1,surprise,True,0,0.24738,0.018979,0.207502,0.437897,0.562103,0.473861
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T2,surprise,True,0,0.026265,0.011535,0.027989,0.425432,0.574568,0.065789
H_norm_sigmoid_s_v1,deepseek/deepseek-v3.2,T1,anger,True,0,0.121669,0.050436,0.117236,0.405184,0.594816,0.289341
H_norm_sigmoid_s_v1,x-ai/grok-4.20,T3,sadness,True,0,0.196297,0.012376,0.126713,0.377812,0.622188,0.335386
score,meta-llama/llama-4-maverick,T2,interest,True,0,49.0,17.0,37.0,0.359223,0.640777,103.0
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T2,interest,True,0,0.035239,0.012226,0.026609,0.359223,0.640777,0.074074
score,meta-llama/llama-4-maverick,T3,anger,True,0,297.0,51.0,195.0,0.359116,0.640884,543.0
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T1,anger,True,0,0.207354,0.174886,0.211516,0.356234,0.643766,0.593756
H_norm_sigmoid_s_v1,openai/gpt-5.4,T3,surprise,True,0,0.004315,0.003808,0.004453,0.354107,0.645893,0.012576
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T1,interest,True,0,0.163126,0.044166,0.112251,0.351287,0.648713,0.319543
H_norm_sigmoid_s_v1,openai/gpt-5.4,T1,anger,True,0,0.054131,0.007624,0.030246,0.328759,0.671241,0.092001
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T2,anger,True,0,0.062359,0.027586,0.042509,0.320934,0.679066,0.132454
