story_id,metric,emotion,n_units,mean_persona_share,mean_temperature_share,mean_interaction_burden,mean_separability_share
T1,H_norm_sigmoid_s_v1,anger,6,0.571093594,0.130794667,0.298154833,0.701845167
T1,H_norm_sigmoid_s_v1,interest,6,0.856975078,0.036201025,0.106823833,0.893176167
T1,H_norm_sigmoid_s_v1,sadness,6,0.928299419,0.02635863,0.045342167,0.954657833
T1,H_norm_sigmoid_s_v1,surprise,6,0.780804755,0.038045755,0.1811495,0.8188505
T1,score,anger,6,0.709845565,0.085513381,0.204641,0.795359
T1,score,interest,6,0.965567986,0.008502742,0.0259295,0.9740705
T1,score,sadness,6,0.956219916,0.015072985,0.028707,0.971293
T1,score,surprise,6,0.97351561,0.00402698,0.022457333,0.977542667
T2,H_norm_sigmoid_s_v1,anger,6,0.718184848,0.083363344,0.198451667,0.801548333
T2,H_norm_sigmoid_s_v1,interest,6,0.818792411,0.063301367,0.117907667,0.882092333
T2,H_norm_sigmoid_s_v1,sadness,6,0.88105191,0.042147459,0.076800667,0.923199333
T2,H_norm_sigmoid_s_v1,surprise,6,0.780541833,0.059229846,0.160227,0.839773
T2,score,anger,6,0.861572004,0.068101665,0.070326167,0.929673833
T2,score,interest,6,0.872322815,0.037799728,0.089877333,0.910122667
T2,score,sadness,6,0.958638222,0.010369666,0.030992333,0.969007667
T2,score,surprise,6,0.811588366,0.048137328,0.140274167,0.859725833
T3,H_norm_sigmoid_s_v1,anger,6,0.541336562,0.107617987,0.3510455,0.6489545
T3,H_norm_sigmoid_s_v1,interest,6,0.774074091,0.045494326,0.180431,0.819569
T3,H_norm_sigmoid_s_v1,sadness,6,0.802424378,0.032975098,0.164600167,0.835399833
T3,H_norm_sigmoid_s_v1,surprise,6,0.638052664,0.108675509,0.253275167,0.746724833
T3,score,anger,6,0.853601127,0.02640028,0.119998667,0.880001333
T3,score,interest,6,0.972416665,0.006770111,0.020813167,0.979186833
T3,score,sadness,6,0.945164166,0.012122311,0.0427135,0.9572865
T3,score,surprise,6,0.915535242,0.03723533,0.047229333,0.952770667
