model_id,model_label,metric,n_units,mean_persona_share,mean_temperature_share,mean_interaction_burden,median_interaction_burden,max_interaction_burden,max_absolute_interaction
anthropic/claude-sonnet-4.5,Claude Sonnet 4.5,H_norm_sigmoid_s_v1,12,0.871287763,0.027673832,0.101038405,0.047091708,0.65477167,0.170826
anthropic/claude-sonnet-4.5,Claude Sonnet 4.5,score,12,0.981847382,0.004859955,0.013292662,0.013490705,0.028427903,66.9025
deepseek/deepseek-v3.2,DeepSeek V3.2,H_norm_sigmoid_s_v1,12,0.646749232,0.0943296,0.258921168,0.236860942,0.647999217,0.239748
deepseek/deepseek-v3.2,DeepSeek V3.2,score,12,0.886877996,0.03952503,0.073596974,0.064895706,0.158839628,380.0625
google/gemini-2.5-pro,Gemini 2.5 Pro,H_norm_sigmoid_s_v1,12,0.654217909,0.085948987,0.259833103,0.262905089,0.59974587,0.224718
google/gemini-2.5-pro,Gemini 2.5 Pro,score,12,0.853419377,0.039979824,0.106600799,0.04676627,0.6,292.5
meta-llama/llama-4-maverick,Llama 4 Maverick,H_norm_sigmoid_s_v1,12,0.735245337,0.087935507,0.176819157,0.133968359,0.425435863,0.211516
meta-llama/llama-4-maverick,Llama 4 Maverick,score,12,0.782730216,0.064848804,0.15242098,0.062539172,0.473684211,195.0
openai/gpt-5.4,GPT-5.4,H_norm_sigmoid_s_v1,12,0.855647647,0.055686402,0.08866595,0.031015865,0.35408715,0.060574
openai/gpt-5.4,GPT-5.4,score,12,0.914394568,0.025182535,0.060422896,0.020373246,0.217151849,40.75
x-ai/grok-4.20,Grok 4.20,H_norm_sigmoid_s_v1,12,0.782667882,0.035528177,0.181803941,0.107752306,0.583454311,0.207502
x-ai/grok-4.20,Grok 4.20,score,12,0.978724303,0.005630106,0.015645592,0.010082979,0.04905546,278.5625
